finetune,cv,top1,top3,top5,top10
moltransformer,0,0.447,0.561,0.596,0.621
moltransformer,1,0.435,0.550,0.581,0.606
moltransformer,2,0.444,0.550,0.578,0.604
moltransformer,3,0.427,0.546,0.580,0.605
moltransformer,4,0.453,0.567,0.597,0.624
