finetune,cv,top1,top3,top5,top10
localretro,0,0.445,0.543,0.581,0.616
localretro,1,0.458,0.555,0.594,0.627
localretro,2,0.475,0.563,0.593,0.626
localretro,3,0.455,0.558,0.595,0.632
localretro,4,0.480,0.574,0.611,0.644
